"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","DamageMulti","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","HealthRecoveryPercent","MergeRequirement","ProjectileBounces"
,16,,,,,,,"tower_turret_lvl16",,,,3,0,0,0,,4700000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,25,,,,,,,,105,210,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer8",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,"tower_turret_lvl17",,,,3,0,0,0,,6100000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,25,,,,,,,,110,220,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer8",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,"tower_turret_lvl18",,,,7,0,0,0,,6800000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,25,,,,,,,,120,240,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer8",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,"tower_turret_lvl19",,,,7,0,0,0,,8000000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,25,,,,,,,,130,260,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer9",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,"tower_turret_lvl20",,,,9,12,0,0,,11600000,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,25,,,,,,,,138,276,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer10",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,,,,,"tower_turret_lvl21",,,,13,6,0,0,,16000000,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,25,,,,,,,,145,290,,,,,,,,,,,,,,,"Explosive Arrow","Tower Arrow Fire3","Tower Arrow Fire3 LOW",,"destroyedBuilding_3m_base_rockwood",,,,,,,,,,,,,,,,,,,,,,,,,,"Archer11",1,160,70,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall",1,"TID_BUILDING_WALL","TID_WALL_INFO","Wall",,,"sc/buildings.sc","defense_wall_lvl1",,"dummy_particle",,0,0,0,0,"Gold",50,2,2,1,1,,"dummy_particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,20,,,,,,,,,,,,,,,"wall_lvl1_destroyed",,,,,,,,,,,,,"wall_destructed_lvl1",,,,,,,,,,,,,,,,,,,"None",,,,"Weak Wall Pickup","Weak Wall Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,50,,,,,,,,"WallPieces",,,,,,,,,,
,2,,,,,,,"defense_wall_lvl2",,,,0,0,0,0,,1000,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,21,,,,,,,,,,,,,,,"wall_lvl2_destroyed",,,,,,,,,,,,,"wall_destructed_lvl2",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"defense_wall_lvl3",,,,0,0,0,0,,5000,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,22,,,,,,,,,,,,,,,"wall_lvl2_destroyed",,,,,,,,,,,,,"wall_destructed_lvl2",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,"defense_wall_lvl4",,,,0,0,0,0,,10000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,23,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl4",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,"defense_wall_lvl5",,,,0,0,0,0,,20000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,24,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl5",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,"defense_wall_lvl6",,,,0,0,0,0,,30000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,25,,,,,,,,,,,,,,,"wall_lvl6_destroyed",,,,,,,,,,,,,"wall_destructed_lvl6",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,"defense_wall_lvl7",,,,0,0,0,0,,50000,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,26,,,,,,,,,,,,,,,"wall_lvl7_destroyed",,,,,,,,,,,,,"wall_destructed_lvl7",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,"defense_wall_lvl8",,,,0,0,0,0,,75000,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,27,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl8",,,,,,,,,,,,,,,,,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,"defense_wall_lvl9",,,,0,0,0,0,,100000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,28,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl8",,,,,,,,,,,,,,,,,,,"Looping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,"defense_wall_lvl10",,,,0,0,0,0,,200000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,29,,,,,,,,,,,,,,,"Wall Level 10 Destroyed",,,,,,,,,,,,,"wall_destructed_lvl9",,,,,,,,,,,,,,,,,,,"Looping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,"defense_wall_lvl11",,,,0,0,0,0,,500000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,29,,,,,,,,,,,,,,,"Wall Level 10 Destroyed",,,,,,,,,,,,,"wall_destructed_lvl9",,,,,,,,,,,,,,,,,,,"Looping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,"defense_wall_lvl12",,,,0,0,0,0,,1000000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,29,,,,,,,,,,,,,,,"Wall Level 10 Destroyed",,,,,,,,,,,,,"wall_destructed_lvl12",,,,,,,,,,,,,,,,,,,"Looping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,"defense_wall_lvl13",,,,0,0,0,0,,2000000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,29,,,,,,,,,,,,,,,"wall_lvl13_destroyed",,,,,,,,,,,,,"wall_destructed_lvl13",,,,,,,,,,,,,,,,,,,"Synced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,"defense_wall_lvl14",,,,0,0,0,0,,3000000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,29,,,,,,,,,,,,,,,"wall_lvl13_destroyed",,,,,,,,,,,,,"wall_destructed_lvl13",,,,,,,,,,,,,,,,,,,"Synced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,"defense_wall_lvl15",,,,0,0,0,0,,5000000,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,29,,,,,,,,,,,,,,,"wall_lvl13_destroyed",,,,,,,,,,,,,"wall_destructed_lvl14",,,,,,,,,,,,,,,,,,,"Synced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,"defense_wall_lvl16",,,,0,0,0,0,,8000000,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500,29,,,,,,,,,,,,,,,"wall_lvl13_destroyed",,,,,,,,,,,,,"wall_destructed_lvl15",,,,,,,,,,,,,,,,,,,"Synced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,"defense_wall_lvl17",,,,0,0,0,0,,9000000,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500,29,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl4",,,,,,,,,,,,,,,,,,,"Synced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"Elixir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard Tower",1,"TID_BUILDING_WIZARD_TOWER","TID_WIZARD_TOWER_INFO","Defense",,,"sc/buildings.sc","wizard_tower_lvl1",,"wizard_tower_const",,0,3,0,0,"Gold",120000,5,5,3,3,,"wizard_tower_upg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,15,700,,,,1300,,,11,,,,,,,"Building Destroyed",,"WizardTower_attack",,,,,,,"Wizard Tower hit","wizardTower_projectile",,,"destroyedBuilding_3m_round_pit_rock",2,2,,"wizard_tower_base","TRUE","TRUE",,,,,,,,,,,100,,,,,,"Wizard Tower Pickup","Wizard Tower Placing",,"Wizard",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,"Defense",,,,,,,,,,
,2,,,,,,,"wizard_tower_lvl4",,,,0,3,0,0,,220000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,16,,,,,,,,13,,,,,,,,,"WizardTower_attack",,,,,,,,"wizardTower_projectile",,,"destroyedBuilding_3m_round_pit_rock",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"wizard_tower_lvl7",,,,0,8,0,0,,400000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,17,,,,,,,,16,,,,,,,,,"WizardTower_attack",,,,,,,,"wizardTower_projectile",,,"destroyedBuilding_3m_round_pit_rock",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard2",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,"wizard_tower_lvl8",,,,0,12,0,0,,540000,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,18,,,,,,,,20,,,,,,,,,"WizardTower_attack",,,,,,,,"wizardTower_projectile",,,"destroyedBuilding_3l_round_pit_rock",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard2",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,"wizard_tower_lvl9",,,,0,18,0,0,,700000,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,19,,,,,,,,24,,,,,,,,,"WizardTower_attack2",,,,,,,,"wizardTower_projectile2",,,"destroyedBuilding_3l_round_pit_crystal",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard3",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,"wizard_tower_lvl10",,,,1,0,0,0,,1000000,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,20,,,,,,,,32,,,,,,,,,"WizardTower_attack2",,,,,,,,"wizardTower_projectile2",,,"destroyedBuilding_3l_round_pit_crystal",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard3",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,"wizard_tower_lvl11",,,,1,12,0,0,,2000000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,21,,,,,,,,40,,,,,,,,,"WizardTower_attack2",,,,,,,,"wizardTower_projectile2",,,"destroyedBuilding_3l_round_pit_crystaldark",,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard6",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,"wizard_tower_lvl12",,,,2,0,0,0,,2200000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,21,,,,,,,,45,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard6",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,"wizard_tower_lvl13",,,,2,12,0,0,,2800000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,21,,,,,,,,50,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard7",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,"wizard_tower_lvl14",,,,3,0,0,0,,4000000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,21,,,,,,,,62,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard7",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,"wizard_tower_lvl15",,,,7,0,0,0,,7200000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,21,,,,,,,,70,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard8",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,"wizard_tower_lvl16",,,,8,0,0,0,,9200000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,21,,,,,,,,78,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard8",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,"wizard_tower_lvl17",,,,9,0,0,0,,10200000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,21,,,,,,,,84,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard9",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,"wizard_tower_lvl18",,,,13,0,0,0,,12000000,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,21,,,,,,,,90,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard10",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,"wizard_tower_lvl19",,,,13,12,0,0,,19200000,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,21,,,,,,,,95,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard11",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,"wizard_tower_lvl20",,,,14,12,0,0,,20200000,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,21,,,,,,,,102,,,,,,,,,"WizardTower_attack3",,,,,,,,"wizardTower_projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard12",1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
