"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_ADD_FRIENDS_INFO_CLASH","Add players as Clash Friends to start Friendly Challenges and follow them in Clash of Clans!","أضف لاعبين كأصدقاء Clash لبدء التحديات الودية وتابعهم في لعبة Clash Of Clans!","添加好友可以与好友进行友谊战，并随时了解他们在《部落冲突》中的动态！","新增好友可以與好友進行友誼戰，並隨時瞭解他們在《部落衝突》中的動態！","Füge Spieler als Clash-Freunde hinzu, um ihnen in Clash of Clans folgen zu können und Freundschaftsspiele zu starten!","Añade a jugadores como amigos para retarles a desafíos amistosos y seguirles en Clash of Clans.","بازیکنان را به عنوان دوستان قبیله اضافه کنید تا مبارزه‌طلبی‌های دوستانه را شروع کنید و آنها را در Clash of Clans دنبال کنید!","Lisää pelaajia Clash-kavereiksi aloittaaksesi ystävyystaisteluita ja seurataksesi heitä Clash of Clansissa.","Ajoutez des joueurs à votre liste d'amis pour leur lancer des défis amicaux et les suivre dans Clash of Clans !","Tambahkan pemain sebagai Teman Clash untuk memulai Tantangan Teman dan ikuti mereka di Clash of Clans!","Aggiungi giocatori ai tuoi amici Clash per iniziare sfide amichevoli e seguirli in Clash of Clans!","プレイヤーをゲーム内フレンドに追加して、フレンドリー・チャレンジで戦ったりクラッシュ・オブ・クラン内でフォローしたりしましょう！","친선 전투를 시작하려면 플레이어를 클래시 친구로 추가하고 클래시 오브 클랜에서 팔로우하세요!","Tambah pemain sebagai Rakan Clash untuk memulakan Cabaran Persahabatan dan mengikuti mereka dalam Clash of Clans!","Voeg spelers toe als Clash-vrienden om vriendschappelijke uitdagingen te starten en ze te volgen in Clash of Clans!","Legg til spillere som Clash-venner for å starte uhøytidelige utfordringer og følge dem i Clash of Clans!","Adicione jogadores como amigos do Clash para iniciar desafios amistosos e segui-los no Clash of Clans!","Добавьте друзей в Clash, чтобы участвовать в дружеских испытаниях и наблюдать за продвижением друзей в Clash of Clans!","เพิ่มผู้เล่นเป็นเพื่อน Clash เพื่อเริ่มการท้าฉันมิตรและติดตามพวกเขาใน Clash of Clans!","Dostluk Mücadeleleri başlatmak ve onları Clash of Clans'te takip etmek için oyuncuları Clash Arkadaşı olarak ekle!","Thêm người chơi làm Bạn Clash để bắt đầu Thách đấu Thân thiện và theo dõi họ trong Clash of Clans!"
"TID_NEWS_BOMB_TOWER_MORE_TEXT","• Friendly Wars: Challenge other Clans to custom wars\n• Add Clash Friends from player profiles\n• Clan Wars loot bonus and Clan XP rules updated\n• Reduced time and cost for many upgrade levels\n• Lots of balancing changes, from Witches to Wizards!\n• New languages in Settings: Indonesian and Malay\n\nFind out more in the full update release notes!","• الحروب الودية: تحدى القبائل الأخرى في حروب مخصصة\n• إضافة أصدقاء Clash من ملف اللاعب الشخصي\n• تم تحديث قواعد مكافآت غنيمة حروب القبائل ونقاط خبرة القبيلة\n• تقليل الوقت والتكلفة الخاصين بالعديد من مستويات الترقية\n• العديد من التغييرات لخلق التوازن، من الساحرات إلى السحرة!\nلغات جديدة في الإعدادات: الإندونيسية والمالايو\n\nاعرف المزيد من الملاحظات الكاملة الخاصة بالإصدار!","• 部落友谊战：向其他部落发起部落友谊战，可自定义对战\n• 在其他玩家的简介页面可直接添加其为好友\n• 调整了部落对战战利品和部落经验值分配标准\n• 减少了部分升级所需时间和花费\n• 一系列平衡性调整，包括法师和女巫！\n• 游戏设置中新增了两种语言：印度尼西亚语和马来语\n\n详细更新内容请阅读更新预告！","• 部落友誼戰：向其他部落發起部落友誼戰，可自訂對戰\n• 在其他玩家的簡介頁面可直接新增其為好友\n• 調整了部落對戰戰利品和部落經驗值分配標準\n• 減少了部分升級所需時間和花費\n• 一系列平衡性調整，包括法師和女巫！\n• 遊戲設定中新增了兩種語言：印尼語和馬來語\n\n詳細更新內容請閱讀更新預告！","• Freundschaftskriege: Fordere andere Clans zu Kriegen heraus!\n• Füge über Spielerprofile Clash-Freunde hinzu!\n• Regeln für Bonusbeute und Clan-EP bei Clankriegen aktualisiert\n• Geringere Wartezeiten und Kosten bei vielen Verbesserungen\n• Viele Balanceänderungen, u. a. für Hexe und Magier!\n• Neue Sprachen in den Einstellungen: Indonesisch und Malaiisch\n\nMehr erfährst du in den kompletten Anmerkungen zum Update!","• Guerras amistosas: Desafía a otros clanes a guerras personalizadas.\n• Añade amigos desde sus perfiles de jugador.\n• Se han actualizado las normas de botín de bonus y XP del clan en las guerras de clanes.\n• Se han reducido el tiempo y el coste de muchos niveles de mejora.\n• Hemos realizado muchos cambios de equilibrio, ¡desde las brujas hasta los magos!\n• Nuevos idiomas en Ajustes: indonesio y malayo.\n\nEncontrarás más información en las notas de actualización.","• جنگ‌های دوستانه: به مبارزه طلبیدن سایر قبایل برای جنگ‌های سفارشی\n• افزودن دوستان قبیله از نمایه‌های بازیکن\n• پاداش غنیمت جنگ‌های قبیله و قوانین تجربه قبیله به‌روزرسانی شد\n• زمان و هزینه برای بسیاری از سطوح ارتقا کاهش یافت\n• بسیاری از تغییرات ترازبندی‌ها از ساحره‌ها گرفته تا جادوگران!\n• زبان‌های جدید در قسمت تنظیمات: اندونزیایی و مالایی\n\nبرای کسب اطلاعات بیشتر، به یادداشت‌های كامل مربوط به انتشار به‌روزرسانی‌ها مراجعه کنید!","• Ystävyyssodat: haasta toinen klaani mukautettuihin sotiin.\n• Lisää Clash-kavereita pelaajaprofiileista.\n• Klaanisotien sotasaaliin ja klaanin kokemuspisteiden säännöt on päivitetty.\n• Aikaa on lyhennetty ja kuluja pienennetty monilla päivitystasoilla.\n• Useita tasapainotusmuutoksia noidasta velhoon.\n• Pelissä on uusia kieliä: indonesia ja malaiji\n\nLue lisää päivityksen julkaisutiedotteesta!","• Guerres amicales : défiez d'autres clans avec des guerres personnalisées\n• Ajout d'amis via les profils de joueurs\n• Mise à jour des règles sur l'EXP de clan et les bonus de butin des guerres de clans\n• Réduction de la durée et du coût de nombreux niveaux d'amélioration\n• Des tas de modifications d'équilibrage, des sorcières aux sorciers !\n• Nouvelles langues dans les paramètres : indonésien et malais\n\nPour tout savoir, consultez les notes complètes de mise à jour !","• Perang Teman: Tantang Klan lain ke perang khusus\n• Tambahkan Teman Clash dari profil pemain\n• Bonus rampasan Perang Klan dan aturan XP Klan diperbarui\n• Pengurangan waktu dan biaya untuk banyak level peningkatan\n• Banyak perubahan penyeimbangan, dari Nenek Sihir sampai Penyihir!\n• Bahasa baru di Setelan: Indonesia dan Malay\n\nCari tahu selengkapnya di catatan lengkap rilis pembaruan!","• Guerre amichevoli: sfida altri clan in guerre personalizzate\n• Aggiungi amici Clash dai profili giocatore\n• Aggiornate le regole del bottino bonus e degli XP del clan nelle guerre tra clan\n• Ridotti tempi e costi per molti livelli di miglioramento\n• Molte modifiche al bilanciamento, dalle streghe agli stregoni!\n• Nuove lingue nelle impostazioni: indonesiano e malese\n\nScopri di più nelle note di pubblicazione dell'aggiornamento complete!","• フレンド対戦：他のクランにチャレンジを送ってカスタム対戦\n• プレイヤープロフィールからゲーム内フレンドに追加\n• クラン対戦の戦利品ボーナスとクランXPのルールを変更\n• 多くのレベルアップグレードに際して、必要な時間とコストを低減\n• ネクロマンサーからウィザードに至るまで、数多くのバランス調整を実施！\n• 設定に新しい言語を追加：インドネシア語およびマレー語\n\n詳しくは、アップデートのリリースノートをご覧ください！","• 친선전: 내가 설정한 전쟁에 다른 클랜을 초대해 보세요.\n• 플레이어 프로필에서 클래시 친구로 추가하세요.\n• 클랜전에서 얻는 전리품과 클랜 XP 획득 기준 업데이트\n• 다양한 업그레이드 레벨의 소요 시간 및 비용 감소\n• 마녀부터 마법사까지 다양한 밸런스 조정!\n• 설정 메뉴에 새 언어 추가: 인도네시아어와 말레이어 추가\n\n업데이트 소식에서 자세한 사항을 확인해 보세요!","• Perang Persahabatan: Cabar Klan lain untuk suaikan perang\n• Tambah Rakan Clash daripada profil pemain\n• Bonus rampasan Perang Klan dan peraturan XP Klan dikemas kini\n• Masa dan kos dikurangkan untuk banyak tahap naik taraf\n• Banyak keseimbangan berubah, daripada Sihir Perempuan kepada Ahli Sihir!\n• Bahasa baharu dalam Tetapan: Bahasa Indonesia dan Bahasa Melayu\n\nKetahui selanjutnya dalam nota keluaran kemas kini penuh!","• Vriendschappelijke oorlogen: daag andere clans uit voor een aangepaste oorlog\n• Voeg Clash-vrienden toe via hun spelersprofiel\n• De regels voor buitbonus en clan-XP na clanoorlogen zijn bijgewerkt\n• Tijd en kosten voor veel upgradelevels zijn verminderd\n• Allerlei balansaanpassingen, van heksen tot tovenaars!\n• Nieuwe talen via de instellingen: Indonesisch en Maleis\n\nKom meer te weten in de volledige uitleg bij de update!","• Uhøytidelige kriger: Utfordre andre klaner til egendefinerte kriger\n• Legg til Clash-venner fra spillerprofiler\n• Reglene for klan-XP og byttebonuser i klankriger er oppdatert\n• Tid og kostnader er redusert for mange oppgraderingsnivåer\n• Mange balanseendringer, fra hekser til trollmenn!\n• Nye språk i Innstillinger: indonesisk og malaysisk\n\nDu kan lese mer i de fullstendige merknadene om oppdateringen!","• Guerras amistosas: desafie outros clãs para guerras personalizadas.\n• Adicione amigos do Clash a partir do perfil de jogador.\n• Bônus de saque nas guerras de clã e regras de XP do clã atualizadas.\n• Tempo e custo reduzidos para muitos níveis de melhoria.\n• Muitas mudanças para equilíbrio do jogo, das Bruxas aos Magos!\n• As línguas malaia e indonésia foram adicionadas às Configurações.\n\nSaiba mais nas notas de atualização completas!","• Дружеские войны: вызовите другие кланы на дружеский бой!\n• Дружеские войны: испытайте другие кланы.\n• Добавляйте друзей в Clash из профилей.\n• Правила получения бонусной добычи в войне кланов и опыта клана обновлены.\n• Уменьшилось время и стоимость многих уровней улучшения.\n• Множество изменений баланса: от ведьм до колдунов!\n\nПодробности в полном описании обновления!","• สงครามฉันมิตร: ท้าแคลนอื่นในสงครามกำหนดเอง\n• เพิ่มเพื่อน Clash จากประวัติผู้เล่น\n• กฎโบนัสการปล้นสงครามแคลนและค่าประสบการณ์แคลนได้รับการอัปเดตแล้ว\n• ลดเวลาและค่าใช้จ่ายสำหรับการอัปเกรดเลเวลมากมาย\n• การเปลี่ยนแปลงที่สร้างสมดุลมากมาย ตั้งแต่แม่มดจนถึง","• Dostluk Savaşları: Özelleştirilmiş savaşlar için diğer Klanlara meydan oku\n• Oyuncu profillerinden Clash Arkadaşları ekle\n• Klan Savaşı ganimet bonusu ve Klan TP kuralları güncellendi\n• Pek çok yükseltme seviyesinin süre ve maliyeti kısıldı\n• Cadılardan Büyücülere pek çok denge değişikliği yapıldı!\n• Ayarlarda yeni diller var: Endonezce ve Malayca\n\nTam güncelleme yayını notlarından daha fazlasını öğren!","• Chiến tranh Thân thiện: Thách đấu các Hội khác trong các cuộc chiến tranh tùy chỉnh\n• Thêm Bạn Clash từ hồ sơ người chơi\n• Đã cập nhật các quy tắc thưởng chiến lợi phẩm và Điểm Kinh nghiệm Hội trong Hội Chiến\n• Giảm thời gian và chi phí cho nhiều cấp nâng cấp\n• Nhiều thay đổi cân bằng, từ Phù thủy đến Pháp sư!\n• Ngôn ngữ mới trong Thiết lập: tiếng Indonesia và tiếng Mã Lai\n\nHãy tìm hiểu thêm trong thông báo đầy đủ về phát hành bản cập nhật!"
"TID_EVENT_CHRISTMAS_SPELL","Clashmas Special: Santa's Surprise","في Clash عيد الميلاد فقط: مفاجأة بابا نويل","Clash圣诞节特别活动：圣诞奇袭","Clash聖誕節特別活動：聖誕奇襲","Clash-Weihnacht: Weihnachtspräsent","Especial de Clashvidad: La sorpresa de Papá Noel","ویژه کلش کریسمس: سورپرایز بابانوئل","Clashin jouluspesiaali: Joulupukin yllätys","Spécial Clash Noël : surprise du père Noël","Clashmas Spesial: Kejutan Santa","Speciale Clashtale: Regalo di Natale","期間限定クラッシュマスイベント：サンタサプライズ","클래시 크리스마스 스페셜: 산타의 선물","Keistimewaan Clashmas: Kejutan Santa","Clash-kerstspecial: de verrassing van de kerstman","Clashmas-spesial: Nissens overraskelse","Especial de Clash Natalino: Surpresa do Papai Noel","Clash-Рождество: сюрприз от Санты","พิเศษวันแคลชมาส: เซอร์ไพรส์ของซานต้า","Clash Yeni Yılı Özel: Noel Baba'nın Sürprizi","Clashmas đặc biệt: Món quà Bất ngờ của Ông già Noel"
"TID_EVENT_CHRISTMAS_TRAP","Clashmas Special: Freeze Trap","في Clash عيد الميلاد فقط: فخ التجمد","Clash圣诞节特别活动：冰冻陷阱","Clash聖誕節特別活動：冰凍陷阱","Clash-Weihnacht: Frostfalle","Especial de Clashvidad: Trampa de hielo","ویژه کلش کریسمس: تله منجمد","Clashin jouluspesiaali: jääansa","Spécial Clash Noël : piège à gel","Clashmas Spesial: Jebakan Pembeku","Speciale Clashtale: Trappola congelante","期間限定クラッシュマスイベント：フリーズトラップ","클래시 크리스마스 스페셜: 얼음 함정","Keistimewaan Clashmas: Perangkap Beku","Clash-kerstspecial: vriesval","Clashmas-spesial: Frysefelle","Especial de Clash Natalino: Armadilha de Gelo","Clash-Рождество: ловушка-заморозка","พิเศษวันแคลชมาส: กับดักเยือกแข็ง","Clash Yeni Yılı Özel: Dondurma Tuzağı","Clashmas Đặc Biệt: Bẫy Đóng băng"
"TID_EVENT_CHRISTMAS_UNIT","Clashmas Special: Ice Wizard","في Clash عيد الميلاد فقط: ساحر الثلج","Clash圣诞节特别活动：寒冰法师","Clash聖誕節特別活動：寒冰法師","Clash-Weihnacht: Eismagier","Especial de Clashvidad: Mago de hielo","ویژه کلش کریسمس: جادوگر یخی","Clashin jouluspesiaali: jäävelho","Spécial Clash Noël : sorcier de glace","Clashmas Spesial: Penyihir Es","Speciale Clashtale: Stregone di ghiaccio","期間限定クラッシュマスイベント：アイスウィザード","클래시 크리스마스 스페셜: 얼음 마법사","Keistimewaan Clashmas: Ahli Sihir Ais","Clash-kerstspecial: ijstovenaar","Clashmas-spesial: Is-trollmann","Especial de Clash Natalino: Mago de Gelo","Clash-Рождество: ледяной колдун","พิเศษวันแคลชมาส: พ่อมดน้ำแข็ง","Clash Yeni Yılı Özel: Buz Büyücüsü","Clashmas Đặc Biệt: Băng Pháp sư"
"TID_EVENT_CHRISTMAS_SPELL_UPCOMING","1st Day of Clashmas!","اليوم الأول من Clash عيد الميلاد!","Clash圣诞节第一天","Clash聖誕節第一天","1. Clash-Weihnachtstag!","¡Día 1 de Clashvidad!","اولین روز کلش کریسمس!","Joulun 1. päivä!","1er jour de Clash Noël !","Hari Pertama Clashmas!","1º giorno di Clashtale!","クラッシュマス1日目！","클래시 크리스마스 1일차!","Hari pertama Clashmas!","De eerste Clash-kerstspecialdag!","1. dag av clashmas","Primeiro dia de Clash Natalino!","1-й день Clash-Рождества!","วันที่ 1 ของแคลชมาส!","Clash Yeni Yılının 1. Günü","Ngày đầu tiên của Clashmas!"
"TID_EVENT_CHRISTMAS_TRAP_UPCOMING","2nd Day of Clashmas!","اليوم الثاني من Clash عيد الميلاد!","Clash圣诞节第二天","Clash聖誕節第二天","2. Clash-Weihnachtstag!","¡Día 2 de Clashvidad!","دومین روز کلش کریسمس!","Joulun 2. päivä!","2e jour de Clash Noël !","Hari ke-2 Clashmas!","2º giorno di Clashtale!","クラッシュマス2日目！","클래시 크리스마스 2일차!","Hari ke-2 Clashmas!","De tweede Clash-kerstspecialdag!","2. dag av clashmas","Segundo dia de Clash Natalino!","2-й день Clash-Рождества!","วันที่ 2 ของแคลชมาส!","Clash Yeni Yılının 2. Günü","Ngày thứ hai của Clashmas!"
"TID_EVENT_CHRISTMAS_UNIT_UPCOMING","3rd Day of Clashmas!","اليوم الثالث من Clash عيد الميلاد!","Clash圣诞节第三天","Clash聖誕節第三天","3. Clash-Weihnachtstag!","¡Día 3 de Clashvidad!","سومین روز کلش کریسمس!","Joulun 3. päivä!","3e jour de Clash Noël !","Hari ke-3 Clashmas!","3º giorno di Clashtale!","クラッシュマス3日目！","클래시 크리스마스 3일차!","Hari ke-3 Clashmas!","De derde Clash-kerstspecialdag!","3. dag av clashmas","Terceiro dia de Clash Natalino!","3-й день Clash-Рождества!","วันที่ 3 ของแคลชมาส!","Clash Yeni Yılının 3. Günü","Ngày thứ ba của Clashmas!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_1","Chief, celebrate Clashmas with 1-Gem boosts and Santa's Surprise!","يا زعيم، احتفل بعيد Clash المجيد مع تعزيزات مقابل جوهرة واحدة ومفاجأة بابا نويل!","首领，为了迎接Clash圣诞节的到来，我们特别推出了1宝石加速活动和圣诞奇袭法术！","首領，為了迎接Clash聖誕節的到來，我們特別推出了1寶石加速活動和聖誕奇襲法術！","Häuptling, feiere die Clash-Weihnacht mit Schüben für 1 Juwel und dem Weihnachtspräsent!","¡Celebra la Clashvidad con aceleradores por 1 gema y la sorpresa de Papá Noel!","رئیس، کریسمس قبیله را با تقویت‌های 1 جواهری و سوپرایز بابانوئل جشن بگیرید!","Päällikkö, juhlista Clashin joulua yhden jalokiven tehostuksilla ja joulupukin yllätyksellä!","Chef, célébrez Clash Noël avec des accélérations à 1 gemme et la surprise du père Noël !","Chief, rayakan Clashmas dengan pelesat 1 Permata dan Kejutan Santa!","Capo, festeggia Clashtale con potenziamenti per 1 gemma e il Regalo di Natale!","チーフ！1エメラルドのブーストと「サンタのとっておき」で、クラッシュマスをお祝いしましょう！","대장님, 보석 1개 가속 및 산타의 선물과 함께 즐거운 크리스마스 보내세요!","Ketua, raikan Clashmas dengan galakan 1 Permata dan Kejutan Santa!","Chief, vier Clashmis met boosts voor één edelsteen en de verrassing van de kerstman!","Høvding, ring clashmas inn med 1-juvelsøkninger og nissens overraskelse!","Chefe, celebre o Natal do Clash com acelerações por 1 gema e Surpresa do Papai Noel!","Вождь, встречайте Clash-Рождество с усилениями за 1 кристалл и сюрпризом от Санты!","ท่านหัวหน้า ฉลองแคลชมาสด้วยการบูสต์อัญมณีเม็ดเดียวและเซอร์ไพรส์ของซานต้ากันเถอะ!","Şef; Clash Yeni Yılını 1 Taşla hızlandırmalar ve Noel Baba'nın Sürprizi ile kutla!","Chỉ huy, hãy cùng chào đón Giáng Sinh Clash bằng cường hóa 1 Ngọc và Món quà Bất ngờ của Ông già Noel!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_2","Chief, Clashmas continues with the Freeze Trap - check it out!","يا زعيم، يستمر عيد Clash المجيد مع فخ التجمد - اطّلع عليه!","首领，Clash圣诞节期间还有新奇的冰冻陷阱哦，赶快去看看吧！","首領，Clash聖誕節期間還有新奇的冰凍陷阱喔，趕快去看看吧！","Häuptling, die Clash-Weihnacht geht mit der Frostfalle weiter - sieh sie dir an!","Nuevo regalo de Clashvidad: la trampa de hielo. ¡Descúbrela!","رئیس، کریسمس قبیله با تله منجمد ادامه پیدا می‌کند - اکنون آن را بررسی کنید!","Päällikkö, Clashin joulu jatkuu jääloitsutarjouksella. Käy tutustumassa siihen!","Chef, Clash Noël continue avec le piège à gel - allez l'essayer !","Chief, Clashmas lanjut ke Jebakan Pembeku - lihatlah!","Capo, Clashtale continua con la trappola congelante: provala!","チーフ！クラッシュマスは、フリーズトラップが加わってまだまだ続きます。お見逃しなく！","대장님, 클래시 크리스마스는 얼음 함정과 함께 계속 됩니다! 확인해 보세요!","Ketua, Clashmas diteruskan dengan Perangkap Beku - lihatnya!","Chief, Clashmis is nog niet afgelopen. Maak kennis met de vriesval!","Høvding, vi fortsetter clashmas-feiringen med frysefeller - prøv dem!","Chefe, o Natal do Clash continua com a armadilha de gelo. Confira!","Вождь, Clash-Рождество продолжается! Знакомьтесь: ловушка-заморозка!","ท่านหัวหน้า แคลชมาสดำเนินต่อไปด้วยกับดักเยือกแข็ง ลองดูสิ!","Şef; Clash Yeni Yılı, Dondurma Tuzağı ile devam ediyor - göz at!","Chỉ huy, Giáng Sinh Clash vẫn tiếp tục diễn ra với Bẫy Đóng băng - hãy đi xem thử!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_3","Chief, train Ice Wizards during the final days of Clashmas!","يا زعيم، درِّب سحرة الثلج خلال أيام عيد Clash المجيد الأخيرة!","首领，抓住Clash圣诞节的尾巴，带着寒冰法师出征吧！","首領，抓住Clash聖誕節的尾巴，帶著寒冰法師出征吧！","Häuptling, bilde in den letzten Tagen der Clash-Weihnacht Eismagier aus!","¡Entrena magos de hielo en los últimos días de Clashvidad!","رئیس، جادوگرهای یخی را در طی روزهای آخر کریسمس قبیله آموزش دهید!","Päällikkö, kouluta jäävelhoa Clashin joulun viimeisinä päivinä!","Chef, profitez des derniers jours de Clash Noël pour entraîner des sorciers de glace !","Chief, latih Penyihir Es selama hari-hari akhir Clashmas!","Capo, addestra gli stregoni di ghiaccio prima che Clashtale finisca!","チーフ！クラッシュマスもいよいよ終盤です。アイスウィザードを訓練しましょう！","대장님, 클래시 크리스마스 마지막 기간에 얼음 마법사를 훈련해 보세요!","Ketua, latih Ahli Sihir Ais sepanjang hari akhir Clashmas!","Chief, train ijstovenaars gedurende de laatste dagen van Clashmis!","Høvding, tren opp is-trollmenn mens det fortsatt er clashmas!","Chefe, treine Magos de Gelo durante os últimos dias de Natal do Clash!","Вождь, в последние дни Clash-Рождества вы можете обучить ледяных колдунов!","ท่านหัวหน้า ฝึกพ่อมดน้ำแข็งในช่วงวันท้ายๆ ของแคลชมาสสิ!","Şef; Clash Yeni Yılının son günlerinde Buz Büyücüleri eğit!","Chỉ huy, hãy huấn luyện Băng Pháp sư trong những ngày cuối của Giáng Sinh Clash!"
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Add Clash Friends from their player profile. WeChat or QQ friends automatically appear once you've logged in.","أضف أصدقاء Clash من خلال ملفات اللاعبين الشخصية. يظهر أصدقاء WeChat أو QQ تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录微信或QQ后，您的微信或QQ好友就会显示在这里。","在其他玩家的個人資料頁面可將其新增為好友。登入微信或QQ後，您的微信或QQ好友就會顯示在這裡。","Füge Clash-Freunde über ihr Spielerprofil hinzu. WeChat- oder QQ-Freunde werden automatisch angezeigt, wenn dein Spiel damit verbunden ist.","Añade amigos desde sus perfiles. Los amigos de WeChat o QQ aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان WeChat یا QQ زمانی که وارد سیستم شوید، به طور خودکار نشان داده می‌شوند.","Lisää kavereita näiden pelaajaprofiilien kautta. WeChat- ja QQ-kaverit näkyvät automaattisesti, kun olet kirjautuneena sisään.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis WeChat ou QQ s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman WeChat atau QQ akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di WeChat e QQ appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤープロフィールから、ゲーム内フレンドに追加しましょう。WeChatやQQのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요. 로그인하면 WeChat이나 QQ 친구들이 자동으로 표시됩니다.","Tambah Rakan Clash dari profil pemain mereka. Rakan WeChat atau QQ kelihatan secara automatik setelah anda melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. WeChat- of QQ-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. WeChat- eller QQ-venner legges til automatisk når du har logget inn.","Adicione amigos do Clash a partir do perfil deles. Amigos do WeChat ou QQ aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по WeChat или QQ появляются в списке автоматически после входа в учетную запись.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก WeChat หรือ QQ จะปรากฏโดยอัตโนมัติเมื่อท่านได้ล็อกอิน","Clash Arkadaşlarını oyuncu profillerinden ekle. WeChat ya da QQ arkadaşların giriş yaptığında otomatik olarak görünür.","Thêm Bạn Clash từ hồ sơ người chơi của họ. Bạn bè trên WeChat hoặc QQ sẽ tự động xuất hiện khi bạn đã đăng nhập."
"TID_BARB2_ABILITY_HELP","Speed and damage are increased for the first <num> seconds","تزداد السرعة والضرر في أول <num> ثوانٍ","在部署后的<num>秒内狂暴，获得额外的移动速度和伤害","在部署後的<num>秒內狂暴，獲得額外的移動速度和傷害","Schaden und Tempo werden in den ersten <num> Sekunden erhöht","La velocidad y el daño aumentan durante los primeros <num> segundos.","سرعت و آسیب در <num> ثانیه نخست افزایش می‌یابد","Nopeus ja tuhovoima kasvavat ensimmäisten\n<num> sekunnin ajaksi.","La vitesse et les dégâts sont augmentés pendant les <num> premières secondes","Kecepatan dan kerusakan bertambah untuk <num> detik pertama","Velocità e danni sono aumentati per i primi <num> secondi","最初の<num>秒間は移動速度とダメージがアップする","처음 <num>초 동안 속도와 공격 피해량이 상승합니다.","Kelajuan dan kerosakan ditambah pada <num> saat pertama","Een hogere snelheid en meer schade gedurende de eerste <num> seconden.","Hastighet og skade økes i de første <num> sekundene","Velocidade e dano aumentados durante os primeiros <num> segundos.","Увеличивает скорость и урон на первые <num> сек.","ความเร็วและความเสียหายเพิ่มขึ้นใน <num> วินาทีแรก","İlk <num> saniye yüksek hız ve hasar.","Tăng tốc độ và sát thương trong <num> giây đầu"
"TID_BOOSTER_USE_HERO_POTION","Boost Heroes","تعزيز الأبطال","强化英雄","強化英雄","Helden-\ntrank","Potenciar héroes","تقویت قهرمان‌ها","Tehosta sankareita","Booster les héros","Pacu Pahlawan","Potenzia eroi","ヒーローを\nブースト","영웅 강화","Galakkan Wira","Helden boosten","Styrk helter","Aprimorar heróis","Усилить героев","บูสต์ผู้กล้า","Kahraman Güçlendir","Cường hóa Tướng"
"TID_HASTY_BALLOON_ABILITY_HELP","Increases movement speed for the first <num> seconds","تزداد السرعة في أول <num> ث","在部署后的<num>秒内提升移动速度","在部署後的<num>秒內提升移動速度","Das Bewegungstempo ist <num> Sekunden lang erhöht.","La velocidad de movimiento aumenta durante los primeros <num> segundos.","در <num> ثانیه اول سرعت زیاد می‌شود","Nopeus kasvaa ensimmäisten <num> sekunnin ajaksi.","Augmente la vitesse de déplacement pendant les <num> premières secondes.","Kecepatan ditingkatkan untuk <num> detik pertama.","La velocità è aumentata per i primi <num> secondi.","最初の<num>秒間は移動速度がアップする","첫 <num>초 동안 속도가 빨라집니다.","Kelajuan ditambah pada <num> saat pertama","Een hogere snelheid gedurende de eerste <num> seconden.","Hastigheten økes i de første <num> sekundene.","A velocidade aumenta durante os primeiros <num> segundos.","Скорость увеличена на первые <num> с.","ความเร็วเพิ่มขึ้นใน <num> วินาทีแรก","İlk <num> saniye boyunca hareket hızını yükseltir.","Tăng tốc độ trong <num> giây đầu"
"TID_SUPER_GIANT_ABILITY_HELP","Deals increased damage to walls.","يلحق ضررًا أكبر بالجدران.","对城墙造成更多伤害。","可對城牆造成更多傷害。","Verursacht erhöhten Schaden an Mauern.","Inflige más daño a los muros.","آسیب بیشتری به دیوارها وارد می‌کند.","Aiheuttaa aiempaa suurempaa tuhoa muureille.","Cause des dégâts augmentés aux remparts.","Memberikan kerusakan yang lebih besar pada tembok.","Causa danni più ingenti alle mura.","壁に与えるダメージが増大する","장벽에 더 큰 피해를 줍니다.","Melakukan kerosakan tambahan pada benteng.","Brengt meer schade toe aan muren.","Gjør økt skade på murer.","Causa maior dano aos muros.","Наносит повышенный урон стенам.","สร้างความเสียหายเพิ่มเติมให้กับกำแพง","Duvarlara daha fazla hasar verir.","Sát thương cao hơn khi tấn công Tường thành."
